Полный адрес,Адрес ТП,Источник теплоснабжения,Балансодержатель,UNOM,ЦТП,Вид ТП,№ ОДС,geoData,geodata_center,id_administration,id_Municipal,ID ODS
"город Москва, 5-й проезд Подбельского, дом 4А, корпус 5","5-й пр. Подбельского, д.4А, корп.3, стр.1",ТЭЦ №23,ПАО «МОЭК»,20214.0,04-01-0607/032,ЦТП,ОДС №13-Богородское,"{coordinates=[[[37.733274197, 55.816182928], [37.733086568, 55.816283879], [37.733192237, 55.816348347], [37.733230415, 55.816330311], [37.733273639, 55.816356275], [37.733457747, 55.8164664], [37.733500973, 55.816492365], [37.733680281, 55.816599804], [37.733726708, 55.816627559], [37.733691731, 55.816647385], [37.733806994, 55.816715426], [37.733997836, 55.816618062], [37.733988221, 55.816610895], [37.733274197, 55.816182928]]], type=Polygon}","{coordinates=[37.733510486, 55.816411338], type=Point}",1.0,1.0,143494668.0
"город Москва, Ивантеевская улица, дом 23","Ивантеевская ул., д.17, корп.2, стр.2",ТЭЦ №23,ПАО «МОЭК»,20182.0,04-01-0607/031,ЦТП,ОДС №13-Богородское,"{coordinates=[[[37.731298772, 55.815816616], [37.73141119, 55.815943944], [37.731555329, 55.81590595], [37.731529646, 55.815879054], [37.732183411, 55.81570178], [37.732212274, 55.815726874], [37.732349222, 55.815687096], [37.732233611, 55.815559775], [37.731298772, 55.815816616]]], type=Polygon}","{coordinates=[37.73169374, 55.815771745], type=Point}",1.0,1.0,143494668.0
"город Москва, Открытое шоссе, дом 6, корпус 13","Открытое шоссе, д.6, корп.11, стр.1",ТЭЦ №23,ПАО «МОЭК»,18083.0,04-01-0614/034,ЦТП,ОДС №13-Богородское,"{coordinates=[[[37.734862631, 55.808724707], [37.734864406, 55.808851604], [37.73503556, 55.808850987], [37.735322375, 55.808850801], [37.735320385, 55.808722692], [37.734862631, 55.808724707]]], type=Polygon}","{coordinates=[37.735092454, 55.808787754], type=Point}",1.0,1.0,143494668.0
"город Москва, улица Алексея Дикого, дом 20","Союзный просп., вл.17, стр.2",ТЭЦ №22,ПАО «МОЭК»,6551.0,04-04-0224/009,ЦТП,ОДС №13-Новогиреево,"{coordinates=[[[37.813315685, 55.747419872], [37.813356069, 55.74741406], [37.813362244, 55.747427736], [37.813469358, 55.74741605], [37.813463144, 55.747401243], [37.813503569, 55.747396579], [37.813470624, 55.747321941], [37.81351608, 55.747316124], [37.813500623, 55.747281376], [37.813455164, 55.747286623], [37.813445882, 55.747265543], [37.813421112, 55.747201725], [37.813399449, 55.747149311], [37.813443913, 55.747144067], [37.813430487, 55.747110454], [37.813385522, 55.74711513], [37.813325187, 55.746967848], [37.813368622, 55.746962316], [37.813355224, 55.746928134], [37.813311266, 55.746934518], [37.813251473, 55.746788663], [37.813297434, 55.746783985], [37.813281991, 55.746750939], [37.813237549, 55.746755052], [37.813178227, 55.746609759], [37.81322018, 55.746605661], [37.813210704, 55.74657679], [37.813165866, 55.746580705], [37.813106083, 55.74643628], [37.813150021, 55.746431317], [37.81313863, 55.746399411], [37.813092675, 55.746404659], [37.813032362, 55.746259946], [37.813079842, 55.746254685], [37.813063415, 55.746222791], [37.813018951, 55.746228035], [37.812994214, 55.746168217], [37.812961194, 55.746083887], [37.813006658, 55.74607921], [37.812989144, 55.746039898], [37.812945698, 55.746044009], [37.812917809, 55.745971076], [37.81286933, 55.74597576], [37.812863134, 55.745963225], [37.812754072, 55.745979475], [37.812756175, 55.745989731], [37.812711758, 55.745996695], [37.81274871, 55.746067324], [37.813074585, 55.746860406], [37.813315685, 55.747419872]]], type=Polygon}","{coordinates=[37.813103824, 55.746680349], type=Point}",1.0,2.0,143494672.0
"город Москва, Фрязевская улица, дом 9, корпус 3","Фрязевская ул., д.11, корп.4, стр.3",ТЭЦ №22,ПАО «МОЭК»,27707.0,04-04-0224/011,ЦТП,ОДС №13-Новогиреево,"{coordinates=[[[37.822190596, 55.747037598], [37.822128746, 55.747140709], [37.822102329, 55.747184696], [37.822038974, 55.747290091], [37.82224762, 55.74733004], [37.82239924, 55.747077548], [37.822243271, 55.747047731], [37.822190596, 55.747037598]]], type=Polygon}","{coordinates=[37.822231822, 55.747162702], type=Point}",1.0,2.0,143494672.0
"город Москва, Свободный проспект, дом 32","Свободный просп., д.30, стр.2",ТЭЦ №22,ПАО «МОЭК»,22844.0,04-04-0224/026,ЦТП,ОДС №13-Новогиреево,"{coordinates=[[[37.813386484, 55.7454041], [37.813460222, 55.745586416], [37.8134264, 55.745592212], [37.813438784, 55.745624117], [37.813473643, 55.745619467], [37.813481385, 55.74563884], [37.813531849, 55.745753633], [37.813539041, 55.745770157], [37.813478468, 55.745779144], [37.813503155, 55.7458327], [37.813563269, 55.745824555], [37.81356995, 55.74583937], [37.813617304, 55.745946479], [37.813910222, 55.745905804], [37.813805273, 55.745679071], [37.813910318, 55.74566626], [37.813830097, 55.745497644], [37.813729092, 55.745510445], [37.813716699, 55.745477401], [37.813564625, 55.7454276], [37.813497969, 55.745438031], [37.813481423, 55.745391305], [37.813386484, 55.7454041]]], type=Polygon}","{coordinates=[37.813677026, 55.745672666], type=Point}",1.0,2.0,143494672.0
"город Москва, Свободный проспект, дом 39, корпус 2","Свободный просп., д.37, стр.1",ТЭЦ №22,ПАО «МОЭК»,22847.0,04-04-0224/013,ЦТП,ОДС №13-Новогиреево,"{coordinates=[[[37.816492103, 55.745543788], [37.816300184, 55.745570518], [37.81650418, 55.746036535], [37.816683968, 55.746013258], [37.81660964, 55.745825236], [37.816492103, 55.745543788]]], type=Polygon}","{coordinates=[37.816456194, 55.745697877], type=Point}",1.0,2.0,143494672.0
"город Москва, улица Константина Федина, дом 6","7-я Парковая ул., д.33, корп.6",ТЭЦ №23,ПАО «МОЭК»,27137.0,04-06-0603/036,ЦТП,ОДС №13-Северное Измайлово,"{coordinates=[[[37.793414663, 55.806170157], [37.79345228, 55.805518747], [37.793258328, 55.80551521], [37.79325564, 55.805563694], [37.793253822, 55.805591082], [37.793245333, 55.805738247], [37.793244005, 55.805764485], [37.793235487, 55.80591165], [37.793233668, 55.80593903], [37.793225598, 55.806079353], [37.793220677, 55.806166629], [37.793414663, 55.806170157]]], type=Polygon}","{coordinates=[37.793336793, 55.805838067], type=Point}",1.0,3.0,143494674.0
"город Москва, улица Константина Федина, дом 8","Сиреневый бульв., д.27, стр.1",ТЭЦ №23,ПАО «МОЭК»,27139.0,04-06-0603/008,ЦТП,ОДС №13-Северное Измайлово,"{coordinates=[[[37.793914467, 55.806178656], [37.794116013, 55.806181034], [37.794118167, 55.80613197], [37.794119461, 55.806101173], [37.794126484, 55.805958571], [37.794127796, 55.805930053], [37.794134794, 55.805784032], [37.794136131, 55.805758934], [37.794142741, 55.805627737], [37.794144029, 55.805600359], [37.794147081, 55.80553419], [37.794046306, 55.80553244], [37.793951105, 55.805530668], [37.793914467, 55.806178656]]], type=Polygon}","{coordinates=[37.794031973, 55.805857042], type=Point}",1.0,3.0,143494674.0
"город Москва, Щёлковское шоссе, дом 54","9-я Парковая ул., д.55, стр.1",ТЭЦ №23,ПАО «МОЭК»,29929.0,04-06-0603/042,ЦТП,ОДС №13-Северное Измайлово,"{coordinates=[[[37.797173465, 55.809788474], [37.797254505, 55.809790559], [37.797301084, 55.809791587], [37.797568535, 55.809798352], [37.797611066, 55.809799389], [37.797886587, 55.809806423], [37.797929149, 55.80980746], [37.798004111, 55.809809277], [37.798012866, 55.809695468], [37.797182223, 55.809674664], [37.797173465, 55.809788474]]], type=Polygon}","{coordinates=[37.797593166, 55.809741971], type=Point}",1.0,3.0,143494674.0
