ID ODS,NAME,ADDRESS,PHONE_NUMBER
143494668,ОДС №13-Богородское,"город Москва, Открытое шоссе, дом 6, корпус 2",8 (495) 539-53-53
143494672,ОДС №13-Новогиреево,"город Москва, Союзный проспект, дом 20, корпус 1",8 (495) 539-53-53
143494674,ОДС №13-Северное Измайлово,"город Москва, Щёлковское шоссе, дом 44, корпус 4",8 (495) 539-53-53
143494693,ОДС №14-Метрогородок,"город Москва, улица Николая Химушина, дом 13, корпус 1",8 (495) 539-53-53
143494695,ОДС №14-Новогиреево,"город Москва, Союзный проспект, дом 6, корпус 3",8 (495) 539-53-53
143494705,ОДС №15-Вешняки,"город Москва, улица Красный Казанец, дом 3, корпус 4",8 (495) 539-53-53
143494707,ОДС №15-Метрогородок,"город Москва, Открытое шоссе, дом 19, корпус 6 ",8 (495) 539-53-53
143494711,ОДС №15-Северное Измайлово,"город Москва, Никитинская улица, дом 20",8 (495) 539-53-53
143494729,ОДС №16-Вешняки,"город Москва, Вешняковская улица, дом 22, корпус 2",8 (495) 539-53-53
143494734,ОДС №16-Северное Измайлово,"город Москва, 11-я Парковая улица, дом 52",8 (495) 539-53-53
143494751,ОДС №17-Гольяново,"город Москва, Щёлковское шоссе, дом 19",8 (495) 539-53-53
143494754,ОДС №17-Северное Измайлово,"город Москва, 15-я Парковая улица, дом 39",8 (495) 539-53-53
143495182,ОДС №30-Богородское,"город Москва, 2-я Прогонная улица, дом 11",8 (495) 539-53-53
143495185,ОДС №30-Измайлово,"город Москва, Никитинская улица, дом 19, корпус 3",8 (495) 539-53-53
143495211,ОДС №33-Соколиная Гора,"город Москва, улица Уткина, дом 40А",8 (495) 539-53-53
143495225,ОДС №18-Вешняки,"город Москва, улица Молдагуловой, дом 30",8 (495) 539-53-53
143495226,ОДС №18-Гольяново,"город Москва, Амурская улица, дом 62, корпус 1",8 (495) 539-53-53
143495241,ОДС №19-Гольяново,"город Москва, Уральская улица, дом 15",8 (495) 539-53-53
143494765,ОДС №0-Преображенское,"город Москва, Халтуринская улица, дом 13",8 (495) 539-53-53
143494814,ОДС №10-Вешняки,"город Москва, Косинская улица, дом 18, корпус 2",8 (495) 539-53-53
143494815,ОДС №10-Ивановское,"город Москва, улица Молостовых, дом 14, корпус 2",8 (495) 539-53-53
143494818,ОДС №10-Новокосино,"город Москва, Новокосинская улица, дом 9, корпус 1",8 (495) 539-53-53
143494819,ОДС №10-Преображенское,"город Москва, Знаменская улица, дом 23",8 (495) 539-53-53
143494823,ОДС №10-Соколиная Гора,"город Москва, Щербаковская улица, дом 54",8 (495) 539-53-53
143494840,ОДС №1134-Косино-Ухтомский,"город Москва, Лухмановская улица, дом 17",8 (495) 539-53-53
143494869,ОДС №11-Новокосино,"город Москва, Новокосинская улица, дом 14, корпус 1",8 (495) 539-53-53
143494900,ОДС №12-Богородское,"город Москва, 3-й проезд Подбельского, дом 16",8 (495) 539-53-53
143494904,ОДС №12-Новогиреево,"город Москва, Федеративный проспект, дом 42, корпус 1",8 (495) 539-53-53
143494907,ОДС №12-Северное Измайлово,"город Москва, 16-я Парковая улица, дом 43",8 (495) 539-53-53
143494914,ОДС №136-Косино-Ухтомский,"город Москва, Лухмановская улица, дом 34",8 (495) 539-53-53
143494928,ОДС №22-Вешняки,"город Москва, Кетчерская улица, дом 6, корпус 3 ",8 (495) 539-53-53
143494930,ОДС №22-Измайлово,"город Москва, Заводской проезд, дом 25",8 (495) 539-53-53
143494932,ОДС №22-Северное Измайлово,"город Москва, 16-я Парковая улица, дом 43, корпус 1",8 (495) 539-53-53
143494946,ОДС №23-Гольяново,"город Москва, Байкальская улица, дом 44, корпус 4",8 (495) 539-53-53
143494982,ОДС №25-Богородское,"город Москва, Малая Черкизовская улица, дом 64 ",8 (495) 539-53-53
143494983,ОДС №25-Вешняки,"город Москва, аллея Жемчуговой, дом 5, корпус 4",8 (495) 539-53-53
143494985,ОДС №25-Измайлово,"город Москва, Измайловский проезд, дом 9, корпус 2",8 (495) 539-53-53
143494990,ОДС №266-Косино-Ухтомский,"город Москва, улица Руднёвка, дом 27",8 (495) 539-53-53
143494994,ОДС №26-Гольяново,"город Москва, Хабаровская улица, дом 23, корпус 2",8 (495) 539-53-53
143494997,ОДС №26-Соколиная Гора,"город Москва, Вольная улица, дом 3",8 (495) 539-53-53
143495009,ОДС №27-Гольяново,"город Москва, Уссурийская улица, дом 5, корпус 3",8 (495) 539-53-53
143495010,ОДС №27-Измайлово,"город Москва, 7-я Парковая улица, дом 15, корпус 3",8 (495) 539-53-53
143495045,ОДС №3-Восточное Измайлово,"город Москва, Первомайская улица, дом 106",8 (495) 539-53-53
143495047,ОДС №3-Ивановское,"город Москва, улица Чечулина, дом 26",8 (495) 539-53-53
143495054,ОДС №3-Новокосино,"город Москва, Новокосинская улица, дом 43",8 (495) 539-53-53
143495055,ОДС №3-Перово,"город Москва, улица Металлургов, дом 13, корпус 1",8 (495) 539-53-53
143495061,ОДС №3-Соколиная Гора,"город Москва, Измайловское шоссе, дом 15, корпус 2",8 (495) 539-53-53
143495062,ОДС №3-Сокольники,"город Москва, Рыбинский переулок, дом 6",8 (495) 539-53-53
143495120,ОДС №28-Гольяново,"город Москва, Хабаровская улица, дом 14, корпус 1",8 (495) 539-53-53
143495132,ОДС №29-Гольяново,"город Москва, Новосибирская улица, дом 6, корпус 2",8 (495) 539-53-53
143495139,ОДС №2-Восточное Измайлово,"город Москва, Средняя Первомайская улица, дом 44",8 (495) 539-53-53
143495140,ОДС №2-Восточный,"город Москва, посёлок Акулово, дом 1",8 (495) 539-53-53
